epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.68058,0.91836,3.08701,1.07578,0.00333,1,0.995,0.87482,0.43538,2.79543,0.80545,0.00016,0.00016,0.00016
2,3.83003,0.65656,1.43141,0.91512,1,0.87956,0.995,0.87082,0.48108,2.40556,0.80097,0.000333268,0.000333268,0.000333268
3,4.98867,0.65818,1.18126,0.90746,0.94244,1,0.995,0.88071,0.51705,2.57334,0.82827,0.000499408,0.000499408,0.000499408
4,6.13895,0.64861,1.16277,0.93456,1,0.94341,0.995,0.87081,0.53839,2.51023,0.82608,0.00065842,0.00065842,0.00065842
5,7.27116,0.65624,1.1383,0.95865,1,0.68202,0.99017,0.85847,0.54841,2.41558,0.83377,0.000810304,0.000810304,0.000810304
6,8.40139,0.63713,1.02896,0.91546,0.88095,0.60714,0.76437,0.67231,0.5433,2.63906,0.86003,0.00095506,0.00095506,0.00095506
7,9.50558,0.57993,0.95624,0.92297,0.98471,0.82143,0.93937,0.83034,0.56289,2.18717,0.83036,0.00109269,0.00109269,0.00109269
8,10.6536,0.66233,1.01753,0.95264,0.99066,1,0.995,0.84795,0.59449,1.54422,0.84416,0.00122319,0.00122319,0.00122319
9,11.7975,0.69594,0.98694,0.94597,0.99655,1,0.995,0.84876,0.55455,1.18772,0.82702,0.00134656,0.00134656,0.00134656
10,12.9402,0.62661,0.92571,0.91225,0.99672,1,0.995,0.86214,0.59212,1.03333,0.84615,0.0014628,0.0014628,0.0014628
11,14.1209,0.64762,0.87828,0.91361,0.99704,1,0.995,0.88655,0.49681,0.87063,0.82419,0.00157192,0.00157192,0.00157192
12,15.3391,0.60488,0.84706,0.89022,0.99773,1,0.995,0.87728,0.54617,0.7219,0.83082,0.0015644,0.0015644,0.0015644
13,16.4405,0.58129,0.81287,0.89792,0.96251,1,0.99397,0.86628,0.51176,0.6897,0.80913,0.0015248,0.0015248,0.0015248
14,18.1676,0.60496,0.77476,0.90508,0.99748,1,0.995,0.86821,0.50032,0.66943,0.80886,0.0014852,0.0014852,0.0014852
15,19.5652,0.57844,0.7211,0.90531,0.99802,1,0.995,0.89758,0.4879,0.62625,0.81427,0.0014456,0.0014456,0.0014456
16,21.3178,0.55638,0.71055,0.89246,0.99811,1,0.995,0.90933,0.43758,0.51724,0.79389,0.001406,0.001406,0.001406
17,22.6938,0.55751,0.68851,0.9133,0.99802,1,0.995,0.90538,0.42175,0.5142,0.79353,0.0013664,0.0013664,0.0013664
18,23.7948,0.53763,0.65413,0.88587,0.9978,1,0.995,0.91434,0.43511,0.55625,0.79549,0.0013268,0.0013268,0.0013268
19,25.0307,0.55656,0.67728,0.88839,0.99751,1,0.995,0.88022,0.53752,0.53228,0.82781,0.0012872,0.0012872,0.0012872
20,26.1718,0.54588,0.63866,0.88634,0.99745,1,0.995,0.90384,0.44369,0.48895,0.79442,0.0012476,0.0012476,0.0012476
21,27.2981,0.52676,0.61631,0.88227,0.99792,1,0.995,0.87067,0.53802,0.53236,0.82224,0.001208,0.001208,0.001208
22,28.4117,0.54328,0.59384,0.88829,0.9979,1,0.995,0.9072,0.43421,0.4831,0.79169,0.0011684,0.0011684,0.0011684
23,29.5207,0.51122,0.58153,0.87284,0.99804,1,0.995,0.90086,0.4491,0.40668,0.79561,0.0011288,0.0011288,0.0011288
24,30.7977,0.49469,0.58017,0.88882,0.99813,1,0.995,0.91287,0.41866,0.39403,0.78826,0.0010892,0.0010892,0.0010892
25,31.9144,0.49248,0.54127,0.86242,0.99804,1,0.995,0.90147,0.40933,0.40106,0.79079,0.0010496,0.0010496,0.0010496
26,32.9987,0.48185,0.50854,0.84824,0.99811,1,0.995,0.92317,0.418,0.38214,0.79322,0.00101,0.00101,0.00101
27,34.1542,0.49485,0.51616,0.88925,0.99808,1,0.995,0.89912,0.48527,0.39338,0.80542,0.0009704,0.0009704,0.0009704
28,35.3658,0.49958,0.51777,0.89485,0.99812,1,0.995,0.91352,0.42902,0.3837,0.79239,0.0009308,0.0009308,0.0009308
29,36.5179,0.4779,0.50823,0.86701,0.99804,1,0.995,0.91018,0.45895,0.37952,0.79781,0.0008912,0.0008912,0.0008912
30,37.6254,0.49061,0.4849,0.88413,0.99809,1,0.995,0.91588,0.45801,0.39166,0.79399,0.0008516,0.0008516,0.0008516
31,38.8134,0.44501,0.47744,0.86995,0.99807,1,0.995,0.93286,0.39137,0.34778,0.78157,0.000812,0.000812,0.000812
32,39.9675,0.46311,0.45286,0.88524,0.99811,1,0.995,0.89693,0.42871,0.35924,0.78882,0.0007724,0.0007724,0.0007724
33,41.0761,0.47474,0.45834,0.87261,0.99806,1,0.995,0.92428,0.38456,0.34425,0.78146,0.0007328,0.0007328,0.0007328
34,42.1615,0.4364,0.4483,0.85629,0.99809,1,0.995,0.94261,0.3509,0.31438,0.77502,0.0006932,0.0006932,0.0006932
35,43.2763,0.44201,0.44637,0.85688,0.99813,1,0.995,0.93568,0.35834,0.3186,0.77686,0.0006536,0.0006536,0.0006536
36,44.4011,0.44926,0.43167,0.87405,0.99804,1,0.995,0.93963,0.36871,0.32679,0.77944,0.000614,0.000614,0.000614
37,45.518,0.41377,0.41936,0.84878,0.99809,1,0.995,0.92673,0.37777,0.32497,0.78502,0.0005744,0.0005744,0.0005744
38,46.7227,0.45235,0.44233,0.87488,0.9981,1,0.995,0.92908,0.3776,0.31418,0.78192,0.0005348,0.0005348,0.0005348
39,47.845,0.43595,0.41446,0.85559,0.99812,1,0.995,0.93172,0.35599,0.31001,0.77769,0.0004952,0.0004952,0.0004952
40,48.9637,0.43413,0.40286,0.85752,0.99808,1,0.995,0.93735,0.37623,0.31257,0.77761,0.0004556,0.0004556,0.0004556
41,50.8995,0.3536,0.40639,0.8039,0.99808,1,0.995,0.93127,0.38356,0.30567,0.77898,0.000416,0.000416,0.000416
42,52.0056,0.34378,0.38872,0.78773,0.99807,1,0.995,0.94242,0.33799,0.28624,0.77279,0.0003764,0.0003764,0.0003764
43,53.1103,0.33883,0.37449,0.807,0.99804,1,0.995,0.93206,0.34269,0.28336,0.77311,0.0003368,0.0003368,0.0003368
44,54.2332,0.35724,0.38905,0.80333,0.99808,1,0.995,0.93172,0.38506,0.28995,0.78148,0.0002972,0.0002972,0.0002972
45,55.3879,0.34162,0.37765,0.79187,0.99804,1,0.995,0.93984,0.36844,0.28005,0.77797,0.0002576,0.0002576,0.0002576
46,56.4805,0.3366,0.3581,0.78959,0.99807,1,0.995,0.93483,0.35328,0.269,0.77688,0.000218,0.000218,0.000218
47,57.59,0.32917,0.35716,0.7757,0.99808,1,0.995,0.94364,0.34879,0.26597,0.77585,0.0001784,0.0001784,0.0001784
48,58.7896,0.31681,0.3549,0.79282,0.99809,1,0.995,0.93652,0.37175,0.25858,0.77771,0.0001388,0.0001388,0.0001388
49,59.883,0.31113,0.34619,0.80938,0.99811,1,0.995,0.93875,0.37269,0.25044,0.77803,9.92e-05,9.92e-05,9.92e-05
50,61.0243,0.32188,0.35742,0.81317,0.9981,1,0.995,0.93696,0.36695,0.25089,0.77704,5.96e-05,5.96e-05,5.96e-05
